road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
1,145.0,2016,03,15,11410,11700,0340,0069,003,2562000,08,145.0,13,120,03,07,10,2020,01,01,4707310.3
1,268.7,2019,07,31,11590,10800,0416,0005,218,3663000,08,268.7,14,160,02,03,08,2020,01,01,8857461.9
2,46.0,2018,12,26,11440,10200,0105,0080,000,9027000,08,46.0,15,310,02,04,06,2020,01,01,9347826.1
1,89.0,2016,06,30,11560,13200,0388,0024,670,2525000,08,89.0,14,110,02,02,09,2020,01,01,1895505.6
3,663.3,2019,01,2,11680,10500,0099,0007,000,11760000,08,663.3,15,160,02,03,04,2020,01,01,15980702.5
3,480.0,2016,10,31,11500,10300,0920,0020,301,3761000,08,480.0,22,230,02,03,00,2017,01,01,9279166.7
2,190.0,2018,03,15,11650,10900,0001,1322,000,560500,01,190.0,44,510,02,06,06,2020,01,01,907473.7
4,743.0,2020,06,13,11740,10700,0343,0000,107,707000,02,743.0,44,510,02,07,01,2020,01,01,1816958.3
1,175.0,2019,12,27,11500,10400,0146,0027,401,1994000,08,175.0,33,110,02,04,08,2020,01,01,4254857.1
1,73.0,2019,07,5,11200,11400,0671,0128,000,4972000,08,73.0,16,150,02,04,10,2020,01,01,36295890.4
0,70.7,2018,03,7,11290,11300,0106,0029,904,848100,08,70.7,14,910,00,00,00,2020,01,01,1706082.0
4,90.0,2020,12,1,11380,10600,0045,0001,108,7640000,08,90.0,16,240,02,04,03,2020,01,01,9677777.8
2,45.0,2018,07,3,11740,10700,0420,0027,107,3967000,08,45.0,14,150,02,07,06,2020,01,01,6293555.6
4,656.8,2020,08,21,11740,10800,0448,0028,108,9088000,08,656.8,15,230,02,03,01,2020,01,01,14464068.2
2,586.5,2018,06,8,11680,11100,0608,0000,000,4416000,08,586.5,14,230,02,03,07,2020,01,01,7544757.0
